# x_m,y_m,w_tr_right_m,w_tr_left_m
3.244,0.019,1.32,1.1
6.139,-0.472,1.32,1.1
8.597,-0.794,1.84,1.5
9.489,2.152,1.1,1.32
10.11,5.866,1.1,1.32
9.025,9.682,2.2,2.2
7.031,6.598,1.47,1.47
6.047,3.616,1.8,2.25
2.99,3.707,1.85,1.85
0.253,2.22,1.78,1.78
