0.8	0.5458
0.7871	0.5365
0.732	0.507
0.771	0.502
0.979	0.494
1.909	0.218
0.938	0.221
0.832	0.394
0.718	0.411
0.743	0.566
0.737	0.528
0.632	0.525
0.625	0.539
1.151	0.583
2.191	0.396
2.005	0.448
1.579	0.476
0.861	0.539
0.901	0.432
0.823	0.51
0.863	1.439
0.971	1.519
0.919	1.262
1.049	1.27
1.056	1.235
1.338	1.399
1.488	1.466
0.652	1.399
0.704	1.342
1.127	1.316
0.728	1.246
0.464	0.584
0.574	0.591




OG
1.5	1.3458
1.4871	1.3365
1.432	1.307
1.471	1.302
1.679	1.294
2.609	1.018
1.638	1.021
1.532	1.194
1.418	1.211
1.443	1.366
1.437	1.328
1.332	1.325
1.325	1.339
1.851	1.383
2.891	1.196
2.705	1.248
2.279	1.276
1.561	1.339
1.601	1.232
1.523	1.31
1.563	2.239
1.671	2.319
1.619	2.062
1.749	2.07
1.756	2.035
2.038	2.199
2.188	2.266
1.352	2.199
1.404	2.142
1.827	2.116
1.428	2.046
1.164	1.384
1.274	1.391
